epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,177.173,0.44324,0.84188,0.42397,0.90584,0.9937,1,0.995,0.86147,0.9937,1,0.995,0.84126,0.56221,1.04743,0.31725,0.8996,0.0003764,0.0003764,0.0003764
84,179.114,0.46641,0.79998,0.42102,0.88515,0.99464,1,0.995,0.88764,0.99464,1,0.995,0.84513,0.56492,1.06777,0.3141,0.91036,0.0003566,0.0003566,0.0003566
85,181.084,0.43746,0.79311,0.42682,0.89423,0.99452,1,0.995,0.87856,0.99452,1,0.995,0.83478,0.58261,1.08565,0.32131,0.93083,0.0003368,0.0003368,0.0003368
86,183.039,0.42644,0.7286,0.38786,0.87867,0.9942,1,0.995,0.86124,0.9942,1,0.995,0.86329,0.59723,1.09441,0.31258,0.9564,0.000317,0.000317,0.000317
87,184.965,0.40901,0.74864,0.42603,0.89478,0.99408,1,0.995,0.84531,0.99408,1,0.995,0.87614,0.64021,1.0723,0.31121,1.00636,0.0002972,0.0002972,0.0002972
88,186.904,0.4164,0.75183,0.40421,0.85593,0.99403,1,0.995,0.84531,0.99403,1,0.995,0.85252,0.6479,1.0867,0.32561,1.02597,0.0002774,0.0002774,0.0002774
89,188.825,0.39713,0.73826,0.37655,0.87378,0.99404,1,0.995,0.84531,0.99404,1,0.995,0.85288,0.65611,1.08473,0.33299,1.02888,0.0002576,0.0002576,0.0002576
90,190.77,0.39394,0.75092,0.39321,0.86643,0.99373,1,0.995,0.86531,0.99373,1,0.995,0.86574,0.64346,1.0574,0.33475,1.01994,0.0002378,0.0002378,0.0002378
91,194.188,0.36378,0.67403,0.37453,0.86743,0.99338,1,0.995,0.85429,0.99338,1,0.995,0.87628,0.63062,1.0277,0.31875,1.02218,0.000218,0.000218,0.000218
92,196.113,0.33389,0.64086,0.37944,0.85291,0.9934,1,0.995,0.84091,0.9934,1,0.995,0.87642,0.62256,1.02514,0.31236,1.0115,0.0001982,0.0001982,0.0001982
93,198.005,0.33243,0.64527,0.34381,0.83479,0.99344,1,0.995,0.85653,0.99344,1,0.995,0.88228,0.61707,1.03248,0.30889,1.00429,0.0001784,0.0001784,0.0001784
94,199.933,0.31843,0.63539,0.34779,0.83999,0.9938,1,0.995,0.84097,0.9938,1,0.995,0.88181,0.62537,1.05861,0.31066,0.99744,0.0001586,0.0001586,0.0001586
95,201.847,0.30014,0.63531,0.34684,0.82634,0.99423,1,0.995,0.84165,0.99423,1,0.995,0.86204,0.61725,1.06788,0.31236,1.00065,0.0001388,0.0001388,0.0001388
96,203.757,0.32607,0.60838,0.34665,0.84559,0.99438,1,0.995,0.85297,0.99438,1,0.995,0.86204,0.60406,1.06585,0.30852,0.99696,0.000119,0.000119,0.000119
97,205.659,0.28614,0.61113,0.33417,0.81364,0.99452,1,0.995,0.85298,0.99452,1,0.995,0.86204,0.59379,1.06101,0.29937,0.99261,9.92e-05,9.92e-05,9.92e-05
98,207.57,0.28395,0.59594,0.31663,0.82328,0.99455,1,0.995,0.85596,0.99455,1,0.995,0.86443,0.58573,1.05425,0.29836,0.98928,7.94e-05,7.94e-05,7.94e-05
99,209.469,0.2858,0.61377,0.32598,0.79508,0.99463,1,0.995,0.85817,0.99463,1,0.995,0.87367,0.58709,1.04511,0.29044,0.98397,5.96e-05,5.96e-05,5.96e-05
100,211.394,0.287,0.59063,0.32451,0.82275,0.99465,1,0.995,0.86207,0.99465,1,0.995,0.87256,0.5938,1.03221,0.28574,0.98248,3.98e-05,3.98e-05,3.98e-05
